
 name             | date       | hour | time             | acousticness | album_name                                | album_release_date | artists                                   | danceability | duration_ms | energy | id    | instrumentalness | liveness | loudness | mode | musical_key | song                                                         | speechiness | tempo     | valence
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:19 |        0.877 |                   Djojj och önskestjärnan |         2019-12-13 |           Humlan Djojj, Josefine Götestam |        0.533 |      121360 | 0.0391 | 53102 |           0.0181 |    0.101 |  -31.356 |    1 |           2 |                                                 Godnattvisan |      0.0348 |   110.047 |   0.377
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:18 |        0.217 |                                      CVLT |         2023-11-03 |              Salmo, Noyz Narcos, Kid Yugi |        0.595 |      226557 |  0.792 | 16069 |                0 |    0.123 |   -6.757 |    0 |           5 |                                        CVLT (feat. Kid Yugi) |       0.322 |    92.236 |   0.436
 Adrienne Jackson | 2024-03-03 |   10 | 2024-03-03 10:15 |        0.202 |                              Nada Con Vos |         2023-11-24 |                      Paloma Lomax, Sharik |        0.879 |      187826 |  0.544 | 98707 |         0.000203 |    0.127 |   -6.817 |    1 |           6 |                                                 Nada Con Vos |      0.0657 |    91.988 |   0.583
   Joseph Mendoza | 2024-03-03 |   10 | 2024-03-03 10:10 |        0.113 |                                 กำแพงหัวใจ |         2023-08-17 |                                     Mirrr |         0.58 |      277203 |  0.773 | 68111 |                0 |   0.0903 |   -6.317 |    1 |           9 |                                                    กำแพงหัวใจ |      0.0436 |    75.993 |   0.498
  Elizabeth Irwin | 2024-03-03 |   10 | 2024-03-03 10:59 |        0.965 |                                 עוגן במים |         2023-12-25 |                             Eviatar Banai |        0.399 |      159124 | 0.0943 |    68 |          0.00141 |     0.11 |  -13.887 |    0 |           7 |                                                        יש בך |      0.0409 |    97.294 |   0.142
     Stephen Reed | 2024-03-03 |   10 | 2024-03-03 10:12 |        0.414 |                                      1111 |         2023-11-09 |                      TOQUEL, LILA, Beyond |        0.509 |      191015 |  0.581 | 54058 |                0 |   0.0763 |    -6.37 |    0 |           5 |                                                        Allou |       0.102 | 130.76199 |   0.456
   John Stevenson | 2024-03-03 |   10 | 2024-03-03 10:09 |        0.203 |                          1-800-OŚWIECENIE |         2023-09-21 | Taco Hemingway, Dawid Podsiadło, @atutowy |        0.674 |      237217 |  0.552 | 98825 |                0 |    0.277 |   -9.029 |    0 |           2 |                                                    Całe Lata |      0.0559 |   147.995 |    0.68
 Jonathan Jackson | 2024-03-03 |   10 | 2024-03-03 10:09 |       0.0632 |                        Big Dreams (Remix) |         2023-06-23 |                   King Moore, Young Dylan |        0.798 |      173164 |  0.737 | 76010 |                0 |   0.0954 |   -7.884 |    1 |           7 |                                           Big Dreams (Remix) |       0.412 | 158.02699 |   0.661
  Angela Thompson | 2024-03-03 |   10 | 2024-03-03 10:28 |         0.18 |                      NewJeans 'Super Shy' |         2023-07-07 |                                  NewJeans |        0.776 |      154666 |  0.817 |  7974 |          3.4e-05 |    0.146 |   -6.018 |    0 |           5 |                                                    Super Shy |      0.0748 | 149.92101 |   0.515
  Angela Thompson | 2024-03-03 |   10 | 2024-03-03 10:26 |        0.631 |                            לילה כיום יאיר |         2009-07-09 |                             Eviatar Banai |        0.331 |      267466 |  0.557 | 64151 |           0.0175 |    0.143 |   -7.167 |    1 |           5 |                                                       עד מחר |      0.0292 |   163.164 |    0.27
  Angela Thompson | 2024-03-03 |   10 | 2024-03-03 10:25 |        0.272 |                                   Deja Vu |         2023-11-17 |                                     SHRTY |        0.799 |      139702 |  0.693 |  2373 |          2.4e-05 |    0.263 |   -5.549 |    0 |           6 |                                                      Deja Vu |      0.0332 |   121.975 |   0.454
  Angela Thompson | 2024-03-03 |   10 | 2024-03-03 10:23 |        0.242 |       Kolmestaa (feat. Lauri Haav & Etta) |         2023-12-29 |                     MD$, Lauri Haav, Etta |        0.735 |      179278 |  0.826 | 97663 |           0.0921 |    0.101 |    -6.63 |    1 |           1 |                          Kolmestaa (feat. Lauri Haav & Etta) |      0.0506 |   120.022 |   0.379
  Angela Thompson | 2024-03-03 |   10 | 2024-03-03 10:22 |        0.186 |                                  Sprinter |         2023-06-01 |                         Dave, Central Cee |        0.916 |      229133 |  0.583 | 99377 |                0 |   0.0798 |   -8.067 |    1 |           1 |                                                     Sprinter |       0.241 |   141.095 |   0.661
  Angela Thompson | 2024-03-03 |   10 | 2024-03-03 10:21 |        0.232 |                             Abala Ya Bali |         2023-03-02 |                             Ayoub Anbaoui |        0.763 |      228925 |  0.744 | 18402 |           0.0106 |   0.0907 |   -8.116 |    0 |           8 |                                                Abala Ya Bali |      0.0637 |   129.953 |    0.54
  Angela Thompson | 2024-03-03 |   10 | 2024-03-03 10:20 |        0.335 |                                  Margiela |         2023-10-26 |                                     Ezhel |        0.776 |      201611 |  0.648 |  2673 |                0 |    0.121 |   -7.553 |    1 |           1 |                                                     Margiela |        0.27 |   116.145 |   0.584
  Angela Thompson | 2024-03-03 |   10 | 2024-03-03 10:18 |      0.00396 |       生若冰火 (ViuTV 劇集冰上火花主題曲) |         2023-11-02 |                                陳卓賢 Ian |         0.53 |      184368 |  0.931 | 70147 |         1.13e-06 |    0.305 |   -5.469 |    0 |           6 |                          生若冰火 (ViuTV 劇集冰上火花主題曲) |       0.123 |   179.987 |   0.746
  Angela Thompson | 2024-03-03 |   10 | 2024-03-03 10:17 |        0.713 |                               ELLERİM BOŞ |         2023-08-04 |                                    M Lisa |        0.603 |      124000 |   0.39 | 49268 |                0 |    0.115 |   -9.465 |    0 |           4 |                                                  ELLERİM BOŞ |      0.0877 |   119.392 |   0.272
  Angela Thompson | 2024-03-03 |   10 | 2024-03-03 10:15 |        0.461 |              Let's Bora, Vol. 3 (Ao Vivo) |         2023-05-18 |                         Israel & Rodolffo |        0.708 |      147132 |  0.806 |  4417 |                0 |    0.578 |   -4.253 |    1 |           4 |                        Voltou Com Quem Não Voltava - Ao Vivo |      0.0527 |   125.075 |   0.681
    Cole Stephens | 2024-03-10 |   11 | 2024-03-10 11:02 |        0.306 |                                   Бавария |         2023-12-07 |                       VANE$$A, Konstantin |        0.797 |      197030 |  0.954 | 19441 |          2.3e-05 |    0.103 |   -6.765 |    1 |           5 |                                                      Бавария |       0.353 |   172.086 |    0.89
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:31 |        0.022 |                                 Leje Wina |         2022-12-23 |               Pusher, GRACEK, Baba Hassan |        0.762 |      142222 |   0.96 |  6584 |         5.58e-06 |   0.0891 |   -3.627 |    1 |           8 |                                                    Leje Wina |       0.046 | 134.94501 |   0.847
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:29 |       0.0425 |                               Lüg mich an |         2023-11-24 |                                    Jazeek |        0.818 |      164000 |   0.82 | 67809 |          5.8e-05 |    0.114 |   -6.279 |    0 |           4 |                                                  Lüg mich an |       0.209 |   120.035 |   0.158
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:28 |        0.337 |                         nu hvor vi er her |         2023-09-01 |                        Artigeardit, Lamin |         0.63 |      207010 |  0.614 | 75417 |                0 |    0.121 |   -5.636 |    1 |           1 |                                                 vi ku' blive |       0.294 |    84.814 |   0.394
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:27 |       0.0499 |                                      CVLT |         2023-11-03 |                        Salmo, Noyz Narcos |        0.662 |      192588 |  0.807 | 86196 |         4.21e-06 |   0.0674 |   -5.719 |    1 |           8 |                                                     BRUJERIA |       0.357 |   121.764 |   0.579
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:26 |        0.295 |                                    Umaasa |         2019-06-28 |                                    Calein |        0.627 |      335624 |  0.433 | 53977 |            0.393 |    0.332 |   -9.868 |    1 |           9 |                                                       Umaasa |      0.0232 |    96.016 |   0.353
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:23 |       0.0748 |                                  MY HOUSE |         2023-12-01 |                                   Beyoncé |        0.494 |      262941 |  0.849 | 79176 |          0.00152 |    0.791 |   -6.438 |    0 |           0 |                                                     MY HOUSE |       0.343 | 181.42799 |   0.512
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:22 |         0.83 |                                  Daylight |         2023-04-14 |                             David Kushner |        0.508 |      212953 |   0.43 | 92143 |         0.000441 |    0.093 |   -9.475 |    0 |           2 |                                                     Daylight |      0.0335 |    130.09 |   0.324
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:21 |       0.0644 |             Lattiast kattoon (feat. Kube) |         2023-11-17 |                               TIPPA, Kube |        0.901 |      120943 |   0.68 | 58664 |                0 |   0.0923 |   -5.089 |    0 |           1 |                                Lattiast kattoon (feat. Kube) |       0.157 |   101.962 |   0.384
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:19 |       0.0658 |                                  Euphorie |         2023-11-10 |                                  Furelise |        0.769 |      163333 |  0.496 | 10093 |          0.00118 |    0.153 |  -10.769 |    1 |           2 |                                                   Akhennouch |       0.149 | 144.06599 |   0.444
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:18 |        0.129 |               KNUSTE HJERTER HELER ALDRIG |         2023-04-11 |                                      Gobs |        0.708 |      158957 |   0.77 | 56995 |                0 |    0.135 |   -5.102 |    0 |           5 |                                             Tro På Kærlighed |       0.105 | 144.03999 |   0.545
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:16 |      0.00967 |                           nový čLOVEk 2.0 |         2023-12-01 |                        Majk Spirit, Separ |        0.884 |      181600 |  0.695 | 97681 |         7.17e-06 |    0.176 |   -5.076 |    1 |           2 |                                                          FLY |      0.0956 |   112.534 |  0.0779
 William Odonnell | 2024-03-03 |   10 | 2024-03-03 10:15 |        0.038 | Tiya Mfana (Mzokwana) [feat. Sims Noreng] |         2023-10-27 |        DJ Tshegu, Focalistic, Sims Noreng |        0.843 |      265213 |  0.472 |   847 |          8.9e-05 |   0.0892 |  -12.282 |    1 |           7 |                    Tiya Mfana (Mzokwana) [feat. Sims Noreng] |      0.0471 |   113.046 |    0.41
  Scott Patterson | 2024-03-03 |   10 | 2024-03-03 10:31 |        0.678 |                      Le son des années 80 |         2009-03-06 |                    Partenaire Particulier |        0.736 |      246440 |  0.927 | 49372 |         0.000256 |    0.217 |   -3.487 |    0 |           6 |                                       Partenaire Particulier |      0.0541 | 156.04601 |   0.971
  Scott Patterson | 2024-03-03 |   10 | 2024-03-03 10:29 |        0.514 |                                   DEJA VU |         2023-05-09 |                        LILA, RACK, Beyond |         0.55 |      157181 |  0.705 | 79955 |                0 |    0.103 |   -5.895 |    0 |           5 |                                                      DEJA VU |       0.225 |   126.684 |   0.383
  Scott Patterson | 2024-03-03 |   10 | 2024-03-03 10:28 |        0.691 |                                    do.mar |         2023-12-01 |                      Van Zee, Julinho Ksd |        0.685 |      201962 |  0.511 | 45135 |          0.00092 |    0.105 |   -7.255 |    1 |           0 |                                                        Só Dá |      0.0866 |     98.11 |   0.313
  Scott Patterson | 2024-03-03 |   10 | 2024-03-03 10:27 |        0.675 |                     Mot lys (fra Snøfall) |         2023-11-17 |                              Inge Bremnes |        0.504 |      170924 |  0.394 | 68559 |            4e-05 |    0.134 |     -8.8 |    1 |           7 |                                        Mot lys (fra Snøfall) |      0.0281 |   150.021 |   0.421
  Scott Patterson | 2024-03-03 |   10 | 2024-03-03 10:26 |        0.499 |  Rum Sodomy & The Lash (Expanded Edition) |         1985-01-01 |                                The Pogues |        0.375 |      283826 |  0.449 | 46799 |            0.237 |    0.173 |  -12.478 |    1 |           0 |                                        A Rainy Night in Soho |      0.0283 |   105.646 |    0.49
  Scott Patterson | 2024-03-03 |   10 | 2024-03-03 10:25 |        0.127 |                             Hors d'oeuvre |         2024-01-17 |                                 shy taupe |        0.562 |      238506 |  0.596 | 59554 |                0 |    0.214 |   -5.419 |    1 |           2 |                                                  rendez-vous |      0.0292 |   146.039 |   0.295
  Scott Patterson | 2024-03-03 |   10 | 2024-03-03 10:24 |        0.284 |                                 Club Dogo |         2024-01-12 |                                 Club Dogo |        0.774 |      198946 |  0.755 | 36287 |                0 |    0.111 |   -3.994 |    0 |           1 |                                                   Indelebili |       0.243 |    81.993 |   0.492
  Scott Patterson | 2024-03-03 |   10 | 2024-03-03 10:22 |         0.25 |                           BM | Mission 18 |         2023-08-09 |                            Alan Gomez, BM |        0.783 |      177142 |  0.697 | 52789 |                0 |    0.269 |   -4.512 |    1 |          11 |                                              BM | Mission 18 |       0.112 |    83.973 |   0.726
  Scott Patterson | 2024-03-03 |   10 | 2024-03-03 10:20 |        0.177 |                                TRAP$TAR 3 |         2023-10-20 |                                 Leto, SDM |        0.757 |      163067 |  0.531 | 50748 |                0 |    0.155 |   -9.347 |    0 |           4 |                                      Sur le banc (feat. SDM) |       0.153 |   141.951 |   0.569
  Scott Patterson | 2024-03-03 |   10 | 2024-03-03 10:19 |        0.897 |                        Season's Greetings |         1991-08-26 |                                Perry Como |        0.478 |      175893 |  0.341 | 64990 |                0 |    0.258 |  -12.556 |    1 |           5 | (There's No Place Like) Home for the Holidays - 1959 Version |      0.0511 | 143.73599 |   0.474

(50 rows)
